scenario,configuration_file,scenarioName,carbon_policy_input,transport_input,elec_water_base,carbon_storage,output_db
curpol,configuration_curpol.xml,Curpol_Try,none (현행정책),transportation_UCD_CORE_CurPol_KOREA.xml,electricity_water_HW.xml,Cstorage.xml,database_basexdb_curpol_Final
NZ2050,configuration_NZ2050_Final.xml,NZ2050,1p5_incr_UC_kor_LUC.xml (배출제약),transportation_UCD_CORE_NDC_KOREA.xml,electricity_water_HW.xml,Cstorage.xml,database_basexdb_NZ2050
NZ2050_NoCCS,configuration_NZ2050_NoCCS.xml,NZ_2050,1p5_incr_UC_kor_LUC.xml,transportation_UCD_CORE_NDC_KOREA.xml,electricity_water_HW_NoCCS.xml,Cstorage_NoCCS.xml,database_basexdb_NZ2050
NZ2050_Nuc,configuration_NZ2050_Nuc.xml,NZ2050_Nuc,1p5_incr_UC_kor_LUC.xml,transportation_UCD_CORE_NDC_KOREA.xml,electricity_water_HW_Nur.xml,Cstorage.xml,database_basexdb_NZ2050_Nuc
NZ2050_Nuc_NoCCS,configuration_NZ2050_Nuc_NoCCS.xml,NZ2050_Nuc_NoCCS,1p5_incr_UC_kor_LUC.xml,transportation_UCD_CORE_NDC_KOREA.xml,electricity_water_HW_Nur_NoCCS.xml,Cstorage_NoCCS.xml,database_basexdb_NZ2050_Nuc_NoCCS
