source_file,sector,subsector,technology,year,capital_overnight_1975USD_per_kW,fixed_charge_rate,OM_fixed,OM_var,capacity_factor
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2020,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2025,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2030,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2035,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2040,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2045,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2050,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2055,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2060,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2065,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2070,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2075,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2080,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2085,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2090,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2095,,,,,
elecS_costs_Kor_ptc,base load generation,biomass,biomass_base_conv,2100,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2020,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2025,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2030,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2035,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2040,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2045,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2050,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2055,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2060,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2065,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2070,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2075,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2080,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2085,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2090,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2095,,,,,
elecS_costs_Kor_ptc,base load generation,geothermal,geo_base,2100,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2020,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2025,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2030,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2035,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2040,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2045,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2050,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2055,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2060,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2065,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2070,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2075,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2080,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2085,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2090,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2095,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base,2100,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2020,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2025,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2030,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2035,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2040,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2045,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2050,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2055,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2060,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2065,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2070,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2075,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2080,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2085,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2090,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2095,,,,,
elecS_costs_Kor_ptc,base load generation,wind,wind_base_storage,2100,,,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,1975,1456,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,1990,1456,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2005,1456,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2010,1083,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2015,1083,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2020,670,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2025,553,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2030,433,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2035,402,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2040,370,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2045,350,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2050,337,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2055,189,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2060,186,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2065,183,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2070,181,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2075,179,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2080,177,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2085,176,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2090,175,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2095,174,0.1,,,
GlobalIntTechCapital,elect_td_bld,rooftop_pv,rooftop_pv,2100,173,0.1,,,
GlobalIntTechCapital,electricity,solar,CSP,1975,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,1990,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2005,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2010,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2015,1470,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2020,1071,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2025,1050,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2030,1037,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2035,1020,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2040,1003,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2045,988,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2050,964,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2055,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2060,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2065,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2070,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2075,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2080,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2085,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2090,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2095,1487,0.13,,,
GlobalIntTechCapital,electricity,solar,CSP,2100,1487,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,1975,2479,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,1990,2479,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,2005,2479,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,2010,2270,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,2015,2270,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,2020,2270,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,2025,2270,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,2030,2270,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,2035,2270,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,2040,2270,0.13,,,
GlobalTechCapital,electricity,solar,CSP_storage,2045,2270,0.13,,,
