year,ghg_constraint_mtco2e,scenario,source_file,note
2025,691,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2030,558,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2035,435,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2040,312,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2045,189,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2050,66,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2055,5.10806,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2060,5,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2065,5,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2070,5,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2075,5,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2080,5,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2085,5,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2090,5,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2095,5,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
2100,5,NZ2050 (all variants incl. NZ2050_limCCS),1p5_incr_UC_kor_LUC.xml,economy-wide South Korea GHG market constraint; carbon price is the endogenous shadow price (NOT in this file)
