route,sector,q_h2_kg_t,q_elec_mwh_t,q_feedstock_t_t,residual_intensity_tco2_t,k_capex_usd_t,p_h2_base_usd_kg,p_elec_base_kr_usd_mwh,p_elec_base_jp_usd_mwh,p_feedstock_base_usd_t,avoided_opex_usd_t,route_opex_other_usd_t,output_unit,status,source,theory_anchor
h2_dri,steel,60,0.8,0,0.10,470,5.5,75,95,1,436.5,380,t steel,banded,"intensity I01/I02/I10; capex K11; avoided=BF coal 0.7×$250+ore 1.65×$110+fixed $80 (I06/I07/P04/P05/P12); other=DR펠릿 1.62×$185+misc $20+fixed $60 (I04/I05/P11/P13)",#axiom-route-sensitivity
scrap_eaf,steel,0,0.60,0,0.40,200,5.5,75,95,1,436.5,500,t steel,banded,"EAF 원단위 (K03+K04 capex≈200); other=고철 1.1t×$400(assumed)+fixed $60; 수소·원료 가격 감응도 0은 구성상 배정 (A4)",#axiom-route-sensitivity
ng_dri,steel,0,0.70,0,0.80,300,5.5,75,95,1,436.5,460,t steel,banded,"Midrex NG-DRI (Kobe Kakogawa); other=NG+펠릿+fixed 근사; 수소·원료 가격 감응도 0 구성상 배정 (A4)",#axiom-route-sensitivity
e_cracker,petrochemicals,0,1.50,1.30,0.13,650,5.5,75,95,650,1050,100,t HVC,assumed,"BASF/SABIC/Linde 2024: 6MW for 4t/h feed and >90% furnace CO2 reduction; IEA 2018 naphtha cracking 12–19 GJ/tHVC and $2050/tHVC conventional CAPEX; incremental economics provisional",#axiom-route-sensitivity
ccus_cracker,petrochemicals,0,0.65,1.30,0.39,550,5.5,75,95,650,1050,150,t HVC,assumed,"DOE ethylene pathway: CCUS captures 70% of direct CO2 by 2050 scenario; electricity/CAPEX/opex are transparent screening assumptions",#axiom-route-sensitivity
circular_olefins,petrochemicals,0,1.10,1.15,0.26,900,5.5,75,95,780,1050,140,t HVC,assumed,"DOE/IEA alternative low-carbon feedstocks and recycling pathway; yield, feed price, intensity and CAPEX are provisional screening assumptions",#axiom-route-sensitivity
